"Hardware Vendor
Test Sponsor","System
Enclosure (if applicable)",Nodes,JVM Vendor,CPU Description,MHz,Chips,Cores,"Total
Threads","Total
Memory (GB)","ssj_ops
@ 100%","avg. watts
@ 100%","avg. watts
@ active idle","Result
(Overall ssj_ops/watt)"
Dell Inc.,"PowerEdge R710 (Intel Xeon X5670, 2.93 GHz)
Aug 11, 2010 | HTML | Text",1,IBM Corporation,Intel Xeon X5670,2933,2,12,24,12,"910,978",232,64,"3,034"
Dell Inc.,"PowerEdge M610
Dell PowerEdge M1000E
Sep 9, 2010 | HTML | Text",16,IBM Corporation,Intel Xeon X5670,2933,32,192,384,192,"14,440,896","3,716",877,"3,094"
Dell Inc.,"PowerEdge R510
Oct 6, 2010 | HTML | Text",1,IBM Corporation,Intel Xeon X5670,2933,2,12,24,12,"925,878",266,56.9,"2,745"
Dell Inc.,"PowerEdge M915
Dell PowerEdge M1000e
Aug 2, 2011 | HTML | Text",8,IBM Corporation,AMD Opteron 6176 (2.30 GHz),2300,32,384,384,256,"14,793,524","4,219","1,068","2,716"
Dell Inc.,"PowerEdge M710HD
Dell PowerEdge M1000e
Sep 21, 2011 | HTML | Text",16,Oracle Corporation,Intel Xeon X5675 (3.06 GHz),3060,32,192,384,384,"15,173,592","3,780",972,"3,162"
Dell Inc.,"PowerEdge M610
Dell PowerEdge M1000e
Nov 2, 2011 | HTML | Text",16,Oracle Corporation,Intel Xeon X5675 (3.06 GHz),3060,32,192,384,384,"14,760,777","3,504",873,"3,348"
Dell Inc.,"PowerEdge C6100 (Intel Xeon X5675, 3.06 GHz)
PowerEdge C6100
Nov 2, 2011 | HTML | Text",4,Oracle Corporation,Intel Xeon 5675,3067,8,48,96,64,"3,662,415",895,227,"3,281"
Dell Inc.,"Dell PowerEdge R710 (Intel Xeon X5675, 3.06 GHz)
Nov 2, 2011 | HTML | Text",1,Oracle Corporation,Intel Xeon X5675,3066,2,12,24,24,"955,936",227,62.2,"3,214"
Dell Inc.,"PowerEdge M915
Dell PowerEdge M1000e
Nov 16, 2011 | HTML | Text",8,IBM Corporation,AMD Opteron 6276 (2.30 GHz),2300,32,512,512,512,"17,898,948","4,847","1,107","2,919"
Dell Inc.,"PowerEdge R620 (Intel Xeon E5-2670, 2.6 GHz)
Mar 21, 2012 | HTML | Text",1,Oracle Corporation,Intel Xeon E5-2670 2.60 GHz,2600,2,16,32,24,"1,236,124",243,54.1,"4,446"
Dell Inc.,"PowerEdge R720 (Intel Xeon E5-2670, 2.6 GHz)
Mar 21, 2012 | HTML | Text",1,Oracle Corporation,Intel Xeon E5-2670 2.60 GHz,2600,2,16,32,24,"1,238,932",231,51,"4,658"
Dell Inc.,"PowerEdge T620 (Intel Xeon E5-2670, 2.6 GHz)
Mar 21, 2012 | HTML | Text",1,Oracle Corporation,Intel Xeon E5-2670 2.60 GHz,2600,2,16,32,24,"1,236,311",227,50.2,"4,730"
"Hardware Vendor
Test Sponsor","System
Enclosure (if applicable)",Nodes,JVM Vendor,Processor,,,,,"Total
Memory (GB)",Submeasurements,,,"Result
(Overall ssj_ops/watt)"
,,,,CPU Description,MHz,Chips,Cores,"Total
Threads",,"ssj_ops
@ 100%","avg. watts
@ 100%","avg. watts
@ active idle",
Dell Inc.,"PowerEdge M620 (Intel Xeon E5-2670, 2.6 GHz)
Dell PowerEdge M1000e
Apr 4, 2012 | HTML | Text",16,Oracle Corporation,Intel Xeon E5-2670 2.60 GHz,2600,32,256,512,384,"20,208,781","3,881",828,"4,649"
Dell Inc.,"PowerEdge R620 (Intel Xeon E5-2660, 2.2 GHz)
May 2, 2012 | HTML | Text",1,Oracle Corporation,Intel Xeon E5-2660 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200,2,16,32,24,"1,304,143",263,56.1,"4,577"
Dell Inc.,"PowerEdge R720 (Intel Xeon E5-2660, 2.2 GHz)
May 2, 2012 | HTML | Text",1,Oracle Corporation,Intel Xeon E5-2660 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200,2,16,32,24,"1,308,474",250,52.7,"4,836"
Dell Inc.,"PowerEdge T620 (Intel Xeon E5-2660, 2.2 GHz)
May 2, 2012 | HTML | Text",1,Oracle Corporation,Intel Xeon E5-2660 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200,2,16,32,24,"1,316,689",246,51.3,"4,929"
Dell Inc.,"PowerEdge R820 (Intel Xeon E5-4650L, 2.60 GHz)
May 30, 2012 | HTML | Text",1,Oracle Corporation,Intel Xeon E5-4650L 2.60 GHz,2600,4,32,64,48,"2,540,179",446,110,"4,894"
Dell Inc.,"PowerEdge M520
Dell PowerEdge M1000e
May 30, 2012 | HTML | Text",16,Oracle Corporation,Intel Xeon E5-2470 (Intel Turbo Boost Technology up to 3.10 GHz),2300,32,256,512,384,"20,832,566","4,026",713,"5,034"
Dell Inc.,"PowerEdge R420 (Intel Xeon E5-2470, 2.30 GHz)
Jun 14, 2012 | HTML | Text",1,Oracle Corporation,Intel Xeon E5-2470 2.3GHz,2300,2,16,32,24,"1,187,945",205,51.2,"4,866"
Dell Inc.,"PowerEdge M420
Dell PowerEdge M1000e
Jul 11, 2012 | HTML | Text",32,Oracle Corporation,Intel Xeon E5-2470 (2.3 GHz),2300,64,512,1024,768,"36,985,454","6,854","1,773","4,535"
Dell Inc.,"PowerEdge R815 (AMD Opteron 6278, 2.40 GHz)
Aug 8, 2012 | HTML | Text",1,IBM Corp.,AMD Opteron 6278,2400,4,64,64,64,"2,331,362",593,118,"3,028"
Dell Inc.,"PowerEdge M820
Dell PowerEdge M1000e
Aug 22, 2012 | HTML | Text",8,IBM Corporation,Intel Xeon E5-4650L (2.60 GHz),2600,32,512,1024,384,"21,852,947","3,997",832,"4,853"
Dell Inc.,"PowerEdge R620 (Intel Xeon E5-2660, 2.20 GHz)
Sep 5, 2012 | HTML | Text",1,IBM Corporation,Intel Xeon E5-2660 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200,2,16,32,24,NC,NC,NC,NC
Dell Inc.,"PowerEdge R720 (Intel Xeon E5-2660, 2.20 GHz)
Sep 5, 2012 | HTML | Text",1,IBM Corporation,Intel Xeon E5-2660 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200,2,16,32,24,NC,NC,NC,NC
Dell Inc.,"PowerEdge R820 (Intel Xeon E5-4650L, 2.60 GHz)
Sep 5, 2012 | HTML | Text",1,IBM Corporation,Intel Xeon E5-4650L 2.60 GHz,2600,4,32,64,48,NC,NC,NC,NC
"Hardware Vendor
Test Sponsor","System
Enclosure (if applicable)",Nodes,JVM Vendor,Processor,,,,,"Total
Memory (GB)",Submeasurements,,,"Result
(Overall ssj_ops/watt)"
,,,,CPU Description,MHz,Chips,Cores,"Total
Threads",,"ssj_ops
@ 100%","avg. watts
@ 100%","avg. watts
@ active idle",
Dell Inc.,"PowerEdge T620 (Intel Xeon E5-2660, 2.20 GHz)
Sep 5, 2012 | HTML | Text",1,IBM Corporation,Intel Xeon E5-2660 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200,2,16,32,24,NC,NC,NC,NC
Dell Inc.,"PowerEdge R520 (Intel Xeon E5-2470, 2.30 GHz)
Oct 17, 2012 | HTML | Text",1,IBM Corporation,Intel Xeon E5-2470 (Intel Turbo Boost Technology up to 3.10 GHz ),2300,2,16,32,24,"1,496,064",264,47.9,"5,504"
Dell Inc.,"PowerEdge R720 (Intel Xeon E5-2660, 2.20 GHz)
Nov 14, 2012 | HTML | Text",1,IBM Corporation,Intel Xeon E5-2660 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200,2,16,32,24,"1,447,466",230,53.8,"5,497"
Dell Inc.,"PowerEdge R420 (Intel Xeon E5-2470, 2.30 GHz)
Nov 14, 2012 | HTML | Text",1,IBM Corporation,Intel Xeon E5-2470 (Intel Turbo Boost Technology up to 3.10 GHz ),2300,2,16,32,24,"1,511,097",263,53.3,"5,420"
Dell Inc.,"PowerEdge M520 (Intel Xeon E5-2470 (2.30 GHz)
Dell PowerEdge M1000e
Nov 14, 2012 | HTML | Text",16,IBM Corporation,Intel Xeon E5-2470 (2.30 GHz),2300,32,384,512,256,"23,619,377","4,078",732,"5,521"
Dell Inc.,"PowerEdge M915 (AMD Opteron 6380, 2.50 GHz)
Dell PowerEdge M1000e
Nov 14, 2012 | HTML | Text",8,IBM Corporation,AMD Opteron 6380 (2.50 GHz),2500,32,512,512,512,"25,132,429","4,562",976,"4,421"
Dell Inc.,"PowerEdge R720 (Intel Xeon E5-2660, 2.20 GHz)
Nov 28, 2012 | HTML | Text",1,IBM Corporation,Intel Xeon E5-2660 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200,2,16,32,24,"1,450,585",231,52.3,"5,506"
Dell Inc.,"PowerEdge T620 (Intel Xeon E5-2660, 2.20 GHz)
Nov 28, 2012 | HTML | Text",1,IBM Corporation,Intel Xeon E5-2660 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200,2,16,32,24,"1,446,931",242,51,"5,425"
Dell Inc.,"PowerEdge R620 (Intel Xeon E5-2660, 2.20 GHz)
Nov 28, 2012 | HTML | Text",1,IBM Corporation,Intel Xeon E5-2660 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200,2,16,32,24,"1,447,399",248,54.9,"5,244"
Dell Inc.,"PowerEdge R820 (Intel Xeon E5-4650L, 2.60 GHz)
Nov 28, 2012 | HTML | Text",1,IBM Corporation,Intel Xeon E5-4650L 2.60 GHz,2600,4,32,64,48,"2,790,966",457,108,"5,285"
Dell Inc.,"PowerEdge C6105 (AMD Opteron 4376HE, 2.6 GHz)
PowerEdge C6105
Jan 9, 2013 | HTML | Text",4,IBM Corporation,AMD Opteron 4376HE,2600,8,64,64,64,"3,209,556",573,106,"4,510"
Dell Inc.,"PowerEdge C6145 (AMD Opteron 6380, 2.50 GHz)
PowerEdge C6145
Jan 9, 2013 | HTML | Text",2,IBM Corporation,AMD Opteron 6380 (2.50GHz),2500,8,128,128,128,"6,175,935","1,105",196,"4,499"
Dell Inc.,"PowerEdge M620 (Intel Xeon E5-2670, 2.60 GHz)
Dell PowerEdge M1000e
Feb 20, 2013 | HTML | Text",16,IBM Corporation,Intel Xeon E5-2670 2.60 GHz,2600,32,256,512,384,"22,753,179","4,057",833,"4,982"
"Hardware Vendor
Test Sponsor","System
Enclosure (if applicable)",Nodes,JVM Vendor,Processor,,,,,"Total
Memory (GB)",Submeasurements,,,"Result
(Overall ssj_ops/watt)"
,,,,CPU Description,MHz,Chips,Cores,"Total
Threads",,"ssj_ops
@ 100%","avg. watts
@ 100%","avg. watts
@ active idle",
Dell Inc.,"PowerEdge C5220 (Intel Xeon E3-1265LV2)
PowerEdge C5220
Apr 19, 2013 | HTML | Text",12,IBM Corporation,Intel Xeon E3-1265LV2,2500,12,48,96,96,"5,258,070",672,194,"6,000"
Dell Inc.,"PowerEdge M620 (Intel Xeon E5-2660 v2, 2.20 GHz)
Dell PowerEdge M1000e
Oct 16, 2013 | HTML | Text",16,IBM Corporation,Intel Xeon E5-2660 v2 (Intel Turbo Boost Technology up to 3.0 GHz),2200,32,320,640,384,NC,NC,NC,NC
Dell Inc.,"PowerEdge R720 (Intel Xeon E5-2660 v2, 2.20 GHz)
Oct 16, 2013 | HTML | Text",1,IBM Corporation,"Intel Xeon E5-2660 v2, 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz)",2200,2,20,40,24,NC,NC,NC,NC
Dell Inc.,"PowerEdge R620 (Intel Xeon E5-2660 v2 2.20 GHz)
Nov 13, 2013 | HTML | Text",1,IBM Corporation,Intel Xeon E5-2660 v2 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200,2,20,40,24,NC,NC,NC,NC
Dell Inc.,"PowerEdge T620 (Intel Xeon E5-2660 v2 2.20 GHz)
Nov 13, 2013 | HTML | Text",1,IBM Corporation,Intel Xeon E5-2660 v2 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200,2,20,40,24,NC,NC,NC,NC
Dell Inc.,"PowerEdge M520 (Intel Xeon E5-2470 v2 2.40 GHz)
Dell PowerEdge M1000e
Jan 22, 2014 | HTML | Text",16,IBM Corporation,Intel Xeon E5-2470 v2 (Intel Turbo Boost Technology up to 3.20 GHz),2400,32,320,640,384,NC,NC,NC,NC
Dell Inc.,"PowerEdge R820 (Intel Xeon E5-4650 v2 2.40 GHz)
Apr 16, 2014 | HTML | Text",1,IBM Corporation,Intel Xeon E5-4650 v2 2.40 GHz (Intel Turbo Boost Technology up to 2.90 GHz),2400,4,40,80,48,NC,NC,NC,NC
Dell Inc.,"PowerEdge M820 (Intel Xeon E5-4650 v2, 2.40 GHz)
Dell PowerEdge M1000e
Apr 30, 2014 | HTML | Text",8,IBM Corporation,Intel Xeon E5-4650 v2 2.40 GHz (Intel Turbo Boost Technology up to 2.90 GHz),2400,32,320,640,384,NC,NC,NC,NC
Dell Inc.,"PowerEdge R730 (Intel Xeon E5-2699 v3 2.30 GHz)
Feb 18, 2015 | HTML | Text",1,IBM Corporation,Intel Xeon E5-2699 v3 2.30 GHz,2300,2,36,72,64,"3,253,446",272,46.9,"10,206"
Dell Inc.,"PowerEdge T630 (Intel Xeon E5-2699 v3 2.30 GHz)
Mar 18, 2015 | HTML | Text",1,IBM Corporation,Intel Xeon E5-2699 v3 2.30 GHz,2300,2,36,72,64,"3,246,430",273,48.1,"10,103"
Dell Inc.,"PowerEdge R630 (Intel Xeon E5-2699 v3 2.30 GHz)
Apr 1, 2015 | HTML | Text",1,IBM Corporation,Intel Xeon E5-2699 v3 2.30 GHz,2300,2,36,72,64,"3,240,418",287,51.2,"9,749"
Dell Inc.,"PowerEdge C6320 (Intel Xeon E5-2699 v3 2.30 GHz)
Dell PowerEdge C6000
Jul 28, 2015 | HTML | Text",4,IBM Corporation,Intel Xeon E5-2699 v3 2.30 GHz,2300,8,144,288,256,"12,942,825","1,229",210,"9,472"
Dell Inc.,"PowerEdge M830 (Intel Xeon E5-4669 v3, 2.10 GHz)
Dell PowerEdge M1000e
Jul 28, 2015 | HTML | Text",8,IBM Corporation,Intel Xeon E5-4669 v3 2.10 GHz (Intel Turbo Boost technology up to 2.90 GHz),2100,32,576,"1,152",1024,NC,NC,NC,NC
"Hardware Vendor
Test Sponsor","System
Enclosure (if applicable)",Nodes,JVM Vendor,Processor,,,,,"Total
Memory (GB)",Submeasurements,,,"Result
(Overall ssj_ops/watt)"
,,,,CPU Description,MHz,Chips,Cores,"Total
Threads",,"ssj_ops
@ 100%","avg. watts
@ 100%","avg. watts
@ active idle",
Dell Inc.,"PowerEdge FC630 (Intel Xeon E5-2699 v3 2.30 GHz)
Dell PowerEdge FX2
Aug 6, 2015 | HTML | Text",4,IBM Corporation,Intel Xeon E5-2699 v3 2.30 GHz,2300,8,144,288,256,"12,981,292","1,256",228,"9,288"
Dell Inc.,"PowerEdge R730 (Intel Xeon E5-2699 v4 2.20 GHz)
Apr 15, 2016 | HTML | Text",1,Oracle Corporation,Intel Xeon E5-2699 v4 2.20 GHz,2200,2,44,88,128,"3,341,589",269,44.9,"10,802"
Dell Inc.,"PowerEdge M630 (Intel Xeon E5-2699 v4, 2.20 GHz)
Dell PowerEdge M1000e
May 25, 2016 | HTML | Text",16,Oracle,Intel Xeon E5-2699 v4 2.20 GHz,2200,32,704,1408,2048,"57,024,126","4,918",878,"10,062"
Dell Inc.,"PowerEdge R630 (Intel Xeon E5-2699 v4 2.20 GHz)
May 25, 2016 | HTML | Text",1,Oracle Corporation,Intel Xeon E5-2699 v4 2.20 GHz,2200,2,44,88,128,"3,529,367",279,46.7,"11,157"
Dell Inc.,"PowerEdge R730 (Intel Xeon E5-2699 v4 2.20 GHz)
May 25, 2016 | HTML | Text",1,Oracle Corporation,Intel Xeon E5-2699 v4 2.20 GHz,2200,2,44,88,128,"3,513,207",272,44.6,"11,423"
Dell Inc.,"PowerEdge R830 (Intel Xeon E5-4669 v4 2.20 GHz)
Jul 20, 2016 | HTML | Text",1,Oracle Corporation,Intel Xeon E5-4669 v4 2.20 GHz,2200,4,88,176,256,"7,064,778",562,86.4,"11,064"
Dell Inc.,"PowerEdge R740
Sep 13, 2017 | HTML | Text",1,Oracle Corporation,Intel Xeon Platinum 8180 2.50 GHz,2500,2,56,112,192,"5,727,798",457,52.3,"11,790"
Dell Inc.,"PowerEdge R640
Sep 13, 2017 | HTML | Text",1,Oracle Corporation,Intel Xeon Platinum 8180 2.50 GHz,2500,2,56,112,192,"5,759,892",469,55,"11,542"
Dell Inc.,"PowerEdge T640
Sep 27, 2017 | HTML | Text",1,Oracle Corporation,Intel Xeon Platinum 8180 2.50 GHz,2500,2,56,112,192,"5,805,252",469,56,"11,537"
Dell Inc.,"PowerEdge R940
Oct 25, 2017 | HTML | Text",1,Oracle Corporation,Intel Xeon Platinum 8180 2.50 GHz,2500,4,112,224,384,"11,528,804",915,106,"11,958"
Dell Inc.,"PowerEdge R7425 (AMD EPYC 7601 2.20 GHz)
Jun 7, 2018 | HTML | Text",1,Oracle Corporation,AMD EPYC 7601 2.20 GHz,2200,2,64,128,128,"4,376,919",287,84.9,"11,064"
Dell Inc.,"PowerEdge R840 (Intel Xeon Platinum 8180 2.50 GHz)
Jul 5, 2018 | HTML | Text",1,Oracle Corporation,Intel Xeon Platinum 8180 2.50 GHz,2500,4,112,224,384,"11,546,450",939,89.8,"11,872"
Dell Inc.,"PowerEdge R840 (Intel Xeon Platinum 8180 2.50 GHz)
Jul 18, 2018 | HTML | Text",1,Oracle Corporation,Intel Xeon Platinum 8180 2.50 GHz,2500,4,112,224,384,"11,355,761",923,85.6,"11,962"
"Hardware Vendor
Test Sponsor","System
Enclosure (if applicable)",Nodes,JVM Vendor,Processor,,,,,"Total
Memory (GB)",Submeasurements,,,"Result
(Overall ssj_ops/watt)"
,,,,CPU Description,MHz,Chips,Cores,"Total
Threads",,"ssj_ops
@ 100%","avg. watts
@ 100%","avg. watts
@ active idle",
Dell Inc.,"PowerEdge R7425 (AMD EPYC 7601 2.20 GHz)
Feb 27, 2019 | HTML | Text",1,Oracle Corporation,"AMD EPYC 7601 2.20 GHz, Dell SKU [338-BNCG]",2200,2,64,128,128,"4,374,583",268,77.5,"11,867"
Dell Inc.,"PowerEdge R740 (Intel Xeon Platinum 8280, 2.70 GHz)
Apr 25, 2019 | HTML | Text",1,Oracle Corporation,"Intel Xeon Platinum 8280, 2.70 GHz",2700,2,56,112,192,"5,811,114",432,49.8,"12,831"
Dell Inc.,"PowerEdge R240 (Intel Xeon E-2176G, 3.70 GHz)
Jul 17, 2019 | HTML | Text",1,Oracle Corporation,Intel Xeon E-2176G,3700,1,6,12,32,"856,931",93.1,20,"8,913"
Dell Inc.,"PowerEdge R7515 (AMD EPYC 7742, 2.25 GHz)
HTML | Text",1,Oracle Corporation,AMD EPYC 7742 2.25 GHz,2250,1,64,128,128,"5,676,534",246,99.5,"16,501"
Dell Inc.,"PowerEdge R6525 (AMD EPYC 7702, 2.00 GHz)
Mar 25, 2020 | HTML | Text",1,Oracle Corporation,AMD EPYC 7702 2.00 GHz,2000,2,128,256,128,"11,115,782",404,81.6,"20,184"
Dell Inc.,"PowerEdge R7525 (AMD EPYC 7702, 2.00 GHz)
Apr 8, 2020 | HTML | Text",1,Oracle Corporation,AMD EPYC 7702 2.00 GHz,2000,2,128,256,128,"11,118,115",393,72.3,"20,910"
Dell Inc.,"PowerEdge R6515 (AMD EPYC 7702P, 2.00 GHz)
Aug 12, 2020 | HTML | Text",1,Oracle Corporation,AMD EPYC 7702P 2.00 GHz,2000,1,64,128,64,"6,124,305",231,54.5,"18,463"
"Dell Inc.
Dell Inc.","PowerEdge R710 (Intel Xeon X5570, 2.93 GHz)
Mar 30, 2009 | HTML | Text",1,Oracle Corporation,Intel Xeon X5570,2933,2,8,16,12,"541,345",237,75.6,"1,746"
"Dell Inc.
Dell","PowerEdge R620 (Intel Xeon E5-2660, 2.2 GHz)
Apr 4, 2012 | HTML | Text",1,Oracle Corporation,Intel Xeon E5-2660 2.20 GHz,2200,2,16,32,24,"1,261,803",258,56.1,"4,525"
"Dell Inc.
Dell","PowerEdge T620 (Intel Xeon E5-2660, 2.2 GHz)
Apr 4, 2012 | HTML | Text",1,Oracle Corporation,Intel Xeon E5-2660 2.20 GHz,2200,2,16,32,24,"1,290,357",240,50.3,"4,874"
Five9 Network Systems,"Five9 N1200 Carrier Grade Server
Apr 28, 2011 | HTML | Text",1,IBM Corporation,Intel Xeon X5670,2930,2,12,24,12,"542,457",190,76.5,"1,990"
Fujitsu,"PRIMERGY TX100 S1 (Intel Xeon L3360)
Jul 15, 2009 | HTML | Text",1,Oracle Corporation,Intel Xeon L3360,2833,1,4,4,8,"212,779",94.7,46.2,"1,500"
Fujitsu,"PRIMERGY RX100 S6 (Intel Xeon X3470)
Feb 2, 2010 | HTML | Text",1,Oracle Corporation,Intel Xeon X3470,2933,1,4,8,4,"278,441",130,35,"1,842"
"Hardware Vendor
Test Sponsor","System
Enclosure (if applicable)",Nodes,JVM Vendor,Processor,,,,,"Total
Memory (GB)",Submeasurements,,,"Result
(Overall ssj_ops/watt)"
,,,,CPU Description,MHz,Chips,Cores,"Total
Threads",,"ssj_ops
@ 100%","avg. watts
@ 100%","avg. watts
@ active idle",
Fujitsu,"PRIMERGY TX150 S7 (Intel Xeon X3470)
Feb 2, 2010 | HTML | Text",1,Oracle Corporation,Intel Xeon X3470,2933,1,4,8,4,"276,514",112,24.3,"2,187"
Fujitsu,"PRIMERGY CX120 S1 (Intel Xeon L5530)
PRIMERGY CX1000 S1
Mar 24, 2010 | HTML | Text",38,IBM Corporation,Intel Xeon L5530,2400,76,304,608,304,"19,939,326","6,303","1,842","2,320"
Fujitsu,"PRIMERGY RX300 S6 (Intel Xeon X5670)
Apr 7, 2010 | HTML | Text",1,IBM Corporation,Intel Xeon X5670,2933,2,12,24,12,"917,763",245,77.9,"2,822"
Fujitsu,"PRIMERGY RX200 S6 (Intel Xeon X5670)
Apr 7, 2010 | HTML | Text",1,IBM Corporation,Intel Xeon X5670,2933,2,12,24,12,"913,790",242,76.2,"2,850"
Fujitsu,"PRIMERGY TX300 S6 (Intel Xeon X5670)
May 19, 2010 | HTML | Text",1,IBM Corporation,Intel Xeon X5670,2933,2,12,24,12,"916,072",236,78.5,"2,900"
Fujitsu,"PRIMERGY TX150 S7 (Intel Xeon X3480)
Dec 1, 2010 | HTML | Text",1,IBM Corporation,Intel Xeon X3480,3067,1,4,8,4,"330,353",113,24.8,"2,513"
Fujitsu,"PRIMERGY RX100 S6 (Intel Xeon X3480)
Dec 1, 2010 | HTML | Text",1,IBM Corporation,Intel Xeon X3480,3067,1,4,8,4,"325,193",127,33.4,"2,155"
Fujitsu,"PRIMERGY TX300 S6 (Intel Xeon X5675)
Mar 9, 2011 | HTML | Text",1,IBM Corporation,Intel Xeon X5675,3066,2,12,24,12,"930,315",236,74.8,"2,989"
Fujitsu,"PRIMERGY TX140 S1 (Intel Xeon E3-1260L)
Apr 27, 2011 | HTML | Text",1,Oracle Corporation,Intel Xeon E3-1260L,2400,1,4,8,8,"319,659",53.6,16.8,"4,549"
Fujitsu,"PRIMERGY TX120 S3 (Intel Xeon E3-1260L)
Jun 16, 2011 | HTML | Text",1,Oracle Corporation,Intel Xeon E3-1260L,2400,1,4,8,8,"322,691",54,14.9,"4,697"
Fujitsu,"PRIMERGY RX100 S7 (Intel Xeon E3-1260L)
Jun 16, 2011 | HTML | Text",1,Oracle Corporation,Intel Xeon E3-1260L,2400,1,4,8,8,"319,958",57.2,17.8,"4,323"
Fujitsu,"PRIMERGY BX920 S2 (Intel Xeon X5675)
PRIMERGY BX900 S1
Oct 6, 2011 | HTML | Text",18,Oracle Corporation,Intel Xeon X5675,3067,36,216,432,216,"17,108,146","4,272","1,032","3,221"
Fujitsu,"PRIMERGY RX300 S7 (Intel Xeon E5-2660)
Mar 21, 2012 | HTML | Text",1,Oracle Corporation,Intel Xeon E5-2660,2200,2,16,32,32,"1,343,300",245,53.1,"5,032"
"Hardware Vendor
Test Sponsor","System
Enclosure (if applicable)",Nodes,JVM Vendor,Processor,,,,,"Total
Memory (GB)",Submeasurements,,,"Result
(Overall ssj_ops/watt)"
,,,,CPU Description,MHz,Chips,Cores,"Total
Threads",,"ssj_ops
@ 100%","avg. watts
@ 100%","avg. watts
@ active idle",
Fujitsu,"PRIMERGY RX200 S7 (Intel Xeon E5-2660)
Apr 25, 2012 | HTML | Text",1,Oracle Corporation,Intel Xeon E5-2660,2200,2,16,32,32,"1,338,554",257,58.6,"4,722"
Fujitsu,"PRIMERGY BX920 S3 (Intel Xeon E5-2470)
PRIMERGY BX900 S2
May 30, 2012 | HTML | Text",18,Oracle Corporation,Intel Xeon E5-2470,2300,36,288,576,432,"23,884,347","4,965","1,014","4,677"
Fujitsu,"PRIMERGY RX100 S7p (Intel Xeon E3-1265LV2)
May 30, 2012 | HTML | Text",1,Oracle Corporation,Intel Xeon E3-1265LV2,2500,1,4,8,8,"416,999",59.5,19.1,"5,576"
Fujitsu,"PRIMERGY TX120 S3p (Intel Xeon E3-1265LV2)
May 30, 2012 | HTML | Text",1,Oracle Corporation,Intel Xeon E3-1265LV2,2500,1,4,8,8,"420,255",56.2,15.7,"6,109"
Fujitsu,"PRIMERGY TX300 S7 (Intel Xeon E5-2660)
Jun 27, 2012 | HTML | Text",1,Oracle Corporation,Intel Xeon E5-2660,2200,2,16,32,24,"1,309,437",240,52.6,"5,032"
Fujitsu,"PRIMERGY RX350 S7 (Intel Xeon E5-2660)
Jun 27, 2012 | HTML | Text",1,Oracle Corporation,Intel Xeon E5-2660,2200,2,16,32,24,"1,306,867",240,52.3,"5,035"
Fujitsu,"PRIMERGY TX140 S1p (Intel Xeon E3-1265LV2)
Jul 11, 2012 | HTML | Text",1,Oracle Corporation,Intel Xeon E3-1265LV2,2500,1,4,8,8,"417,806",55.3,18.9,"5,887"
Fujitsu,"PRIMERGY RX500 S7 (Intel Xeon E5-4640)
Aug 8, 2012 | HTML | Text",1,Oracle Corporation,Intel Xeon E5-4640,2400,4,32,64,48,"2,347,591",402,94.6,"5,029"
Fujitsu,"PRIMERGY TX200 S7 (Intel Xeon E5-2470)
Aug 22, 2012 | HTML | Text",1,Oracle Corporation,Intel Xeon E5-2470,2300,2,16,32,24,"1,367,462",252,51.4,"5,177"
Fujitsu,"PRIMERGY TX100 S3p (Intel Xeon E3-1240V2)
Aug 22, 2012 | HTML | Text",1,Oracle Corporation,Intel Xeon E3-1240V2,3400,1,4,8,8,"467,481",72.5,14.1,"6,008"
Fujitsu,"PRIMERGY TX200 S7 (Intel Xeon E5-2470)
Sep 19, 2012 | HTML | Text",1,IBM Corporation,Intel Xeon E5-2470,2300,2,16,32,24,"1,516,025",252,50.7,"5,689"
Fujitsu,"PRIMERGY RX500 S7 (Intel Xeon E5-4640)
Sep 19, 2012 | HTML | Text",1,IBM Corporation,Intel Xeon E5-4640,2400,4,32,64,48,"2,619,038",420,97.1,"5,350"
Fujitsu,"PRIMERGY RX300 S7 (Intel Xeon E5-2660)
Oct 3, 2012 | HTML | Text",1,IBM Corporation,Intel Xeon E5-2660,2200,2,16,32,24,"1,432,829",245,54,"5,406"
"Hardware Vendor
Test Sponsor","System
Enclosure (if applicable)",Nodes,JVM Vendor,Processor,,,,,"Total
Memory (GB)",Submeasurements,,,"Result
(Overall ssj_ops/watt)"
,,,,CPU Description,MHz,Chips,Cores,"Total
Threads",,"ssj_ops
@ 100%","avg. watts
@ 100%","avg. watts
@ active idle",
