type,cloud jewels
A2,2.380266666666666
C2,2.380266666666666
C2D,1.2107894736842106
E2,1.9866141861837328
M1,2.3789506172839507
M2,2.380266666666666
N1,3.1660186216742594
N2,2.4344754385964906
N2D,1.147061403508772
T2D,1.2107894736842106
