Nodes,1.4736842105263157
Chips,2.6315789473684212
MHz,2426.315789473684
Total Memory (GB),336.8421052631579
Cores,168.42105263157896
Total Threads,336.8421052631579
avg. watts @ active idle,157.7578947368421
avg. watts @ 100%,375.85714285714283
watts per thread idle,0.4357894736842105
watts per thread max,1.8885714285714283
watts per core idle,0.8705263157894736
watts per core max,3.777142857142858
threads per core,2.0
cloud jewels,1.0169022556390976
minimum year,2021.0
maximum year,2021.0
median year,2021.0
