Nodes,1.3157894736842106
Chips,2.6315789473684212
MHz,2278.9473684210525
Total Memory (GB),286.11764705882354
Cores,89.26315789473684
Total Threads,178.52631578947367
avg. watts @ active idle,165.21052631578948
avg. watts @ 100%,607.5294117647059
watts per thread idle,0.9005263157894736
watts per thread max,4.0194117647058825
watts per core idle,1.8036842105263151
watts per core max,8.038823529411765
threads per core,2.0
cloud jewels,2.1480804953560373
minimum year,2021.0
maximum year,2021.0
median year,2021.0
