processor_x,company_x,brand,make,model,moniker,version,Nodes,processor_y,MHz,Chips,Cores,Total Threads,Total Memory (GB),avg. watts @ 100%,avg. watts @ active idle,launch_date,company_y,watts per thread idle,watts per thread max,watts per core idle,watts per core max,threads per core
Xeon Platinum 8280,,xeon,platinum, 8280,,,2.0,Intel Xeon Platinum 8280 @ 2.70GHz (Intel Turbo Boost Technology up to 4.00 GHz),2700.0,4.0,112.0,224,384,982,257,2019.0,intel,1.15,4.38,2.29,8.77,2.0
Xeon Platinum 8280,,xeon,platinum, 8280,,,11.0,Intel Xeon Platinum 8280 @ 2.70GHz (Intel Turbo Boost Technology up to 4.00 GHz),2700.0,22.0,616.0,1232,2112,"4,975",845,2019.0,intel,0.69,4.04,1.37,8.08,2.0
Xeon Platinum 8280,,xeon,platinum, 8280,,,10.0,Intel Xeon Platinum 8280 @ 2.70GHz (Intel Turbo Boost Technology up to 4.00 GHz),2700.0,20.0,560.0,1120,1920,"4,519",779,2019.0,intel,0.7,4.03,1.39,8.07,2.0
Xeon Platinum 8280,,xeon,platinum, 8280,,,9.0,Intel Xeon Platinum 8280 @ 2.70GHz (Intel Turbo Boost Technology up to 4.00 GHz),2700.0,18.0,504.0,1008,1728,"4,073",714,2019.0,intel,0.71,4.04,1.42,8.08,2.0
Xeon Platinum 8280,,xeon,platinum, 8280,,,8.0,Intel Xeon Platinum 8280 @ 2.70GHz (Intel Turbo Boost Technology up to 4.00 GHz),2700.0,16.0,448.0,896,1536,"3,627",658,2019.0,intel,0.73,4.05,1.47,8.1,2.0
Xeon Platinum 8280,,xeon,platinum, 8280,,,7.0,Intel Xeon Platinum 8280 @ 2.70GHz (Intel Turbo Boost Technology up to 4.00 GHz),2700.0,14.0,392.0,784,1344,"3,182",585,2019.0,intel,0.75,4.06,1.49,8.12,2.0
Xeon Platinum 8280,,xeon,platinum, 8280,,,6.0,Intel Xeon Platinum 8280 @ 2.70GHz (Intel Turbo Boost Technology up to 4.00 GHz),2700.0,12.0,336.0,672,1152,"2,736",518,2019.0,intel,0.77,4.07,1.54,8.14,2.0
Xeon Platinum 8280,,xeon,platinum, 8280,,,12.0,Intel Xeon Platinum 8280 @ 2.70GHz (Intel Turbo Boost Technology up to 4.00 GHz),2700.0,24.0,672.0,1344,2304,"5,384",922,2019.0,intel,0.69,4.01,1.37,8.01,2.0
Xeon Platinum 8280,,xeon,platinum, 8280,,,1.0,Intel Xeon Platinum 8280,2700.0,2.0,56.0,112,192,415,49.9,2019.0,intel,0.45,3.71,0.89,7.41,2.0
Xeon Platinum 8280,,xeon,platinum, 8280,,,1.0,Intel Xeon Platinum 8280,2700.0,2.0,56.0,112,192,414,50,2019.0,intel,0.45,3.7,0.89,7.39,2.0
Xeon Platinum 8280,,xeon,platinum, 8280,,,1.0,Intel Xeon Platinum 8280,2700.0,2.0,56.0,112,192,419,52.2,2019.0,intel,0.47,3.74,0.93,7.48,2.0
Xeon Platinum 8280,,xeon,platinum, 8280,,,1.0,Intel Xeon Platinum 8280,2700.0,2.0,56.0,112,192,422,51.5,2019.0,intel,0.46,3.77,0.92,7.54,2.0
Xeon Platinum 8280,,xeon,platinum, 8280,,,1.0,Intel Xeon Platinum 8280,2700.0,2.0,56.0,112,192,421,51.7,2019.0,intel,0.46,3.76,0.92,7.52,2.0
Xeon Platinum 8280,,xeon,platinum, 8280,,,1.0,Intel Xeon Platinum 8280,2700.0,2.0,56.0,112,192,414,50.3,2019.0,intel,0.45,3.7,0.9,7.39,2.0
Xeon Platinum 8280,,xeon,platinum, 8280,,,1.0,Intel Xeon Platinum 8280 2.70GHz,2700.0,2.0,56.0,112,192,410,48.6,2020.0,intel,0.43,3.66,0.87,7.32,2.0
Xeon Platinum 8280,,xeon,platinum, 8280,,,1.0,Intel Xeon Platinum 8280 2.70GHz,2700.0,2.0,56.0,112,192,414,48.2,2020.0,intel,0.43,3.7,0.86,7.39,2.0
Xeon Platinum 8280,,xeon,platinum, 8280,,,1.0,Intel Xeon Platinum 8280 2.70GHz,2700.0,4.0,112.0,224,384,919,102,2020.0,intel,0.46,4.1,0.91,8.21,2.0
Xeon Platinum 8280,,xeon,platinum, 8280,,,1.0,Intel Xeon Platinum 8280 CPU 2.70 GHz,2700.0,1.0,28.0,56,96,177,50,2019.0,intel,0.89,3.16,1.79,6.32,2.0
Xeon Platinum 8280,,xeon,platinum, 8280,,,1.0,Intel Xeon Platinum 8280 2.70GHz,2700.0,2.0,56.0,112,192,385,48.6,2019.0,intel,0.43,3.44,0.87,6.88,2.0
Xeon Platinum 8280L,,xeon,platinum, 8280,l,,1.0,Intel Xeon Platinum 8280L,2700.0,2.0,56.0,112,192,412,62.4,2019.0,intel,0.56,3.68,1.11,7.36,2.0
Xeon Platinum 8280L,,xeon,platinum, 8280,l,,1.0,Intel Xeon Platinum 8280L,2700.0,2.0,56.0,112,192,405,47.4,2019.0,intel,0.42,3.62,0.85,7.23,2.0
Xeon Platinum 8280L,,xeon,platinum, 8280,l,,1.0,Intel Xeon Platinum 8280L,2700.0,2.0,56.0,112,192,388,58.3,2019.0,intel,0.52,3.46,1.04,6.93,2.0
Xeon Platinum 8280L,,xeon,platinum, 8280,l,,1.0,Intel Xeon Platinum 8280L,2700.0,4.0,112.0,224,384,808,120,2019.0,intel,0.54,3.61,1.07,7.21,2.0
Xeon Platinum 8280L,,xeon,platinum, 8280,l,,1.0,Intel Xeon Platinum 8280L 2.70GHz,2700.0,4.0,112.0,224,384,963,95.5,2019.0,intel,0.43,4.3,0.85,8.6,2.0
Xeon Platinum 8280L,,xeon,platinum, 8280,l,,1.0,Intel Xeon Platinum 8280L 2.70GHz,2700.0,4.0,112.0,224,384,915,94.2,2019.0,intel,0.42,4.08,0.84,8.17,2.0
Xeon Platinum 8280L,,xeon,platinum, 8280,l,,1.0,Intel Xeon Platinum 8280L 2.70 GHz,2700.0,2.0,56.0,112,96,414,37.7,2019.0,intel,0.34,3.7,0.67,7.39,2.0
Xeon Platinum 8280L,,xeon,platinum, 8280,l,,1.0,Intel Xeon Platinum 8280L 2.70GHz,2700.0,2.0,56.0,112,384,426,61.8,2019.0,intel,0.55,3.8,1.1,7.61,2.0
