processor_x,company_x,brand,make,model,moniker,version,Nodes,processor_y,MHz,Chips,Cores,Total Threads,Total Memory (GB),avg. watts @ 100%,avg. watts @ active idle,launch_date,company_y,watts per thread idle,watts per thread max,watts per core idle,watts per core max,threads per core
Xeon E3-1220 v2,,xeon,,e3-1220,,v2,1.0,Intel Xeon E3-1220v2 (Intel Turbo Boost Technology up to 3.50 GHz),3100.0,1.0,4.0,4.0,8.0,69.7,36.6,2013.0,intel,9.15,17.43,9.15,17.43,1.0
Xeon E3-1240 v2,,xeon,,e3-1240,,v2,1.0,Intel Xeon E3-1240V2,3400.0,1.0,4.0,8.0,8.0,72.5,14.1,2012.0,intel,1.76,9.06,3.52,18.13,2.0
Xeon E3-1280 v2,,xeon,,e3-1280,,v2,1.0,Intel Xeon E3-1280v2,3600.0,1.0,4.0,8.0,8.0,94.0,45.8,2013.0,intel,5.72,11.75,11.45,23.5,2.0
Xeon E3-1280 v2,,xeon,,e3-1280,,v2,1.0,Intel Xeon E3-1280v2,3600.0,1.0,4.0,8.0,8.0,85.2,37.2,2013.0,intel,4.65,10.65,9.3,21.3,2.0
Xeon E5-2660 v2,,xeon,,e5-2660,,v2,1.0,Intel Xeon E5-2660 v2,2200.0,2.0,20.0,40.0,32.0,232.0,97.1,2014.0,intel,2.43,5.8,4.85,11.6,2.0
Xeon E5-2660 v2,,xeon,,e5-2660,,v2,1.0,Intel Xeon E5-2660V2,2200.0,2.0,20.0,40.0,24.0,202.0,52.0,2013.0,intel,1.3,5.05,2.6,10.1,2.0
Xeon E5-2660 v2,,xeon,,e5-2660,,v2,6.0,Intel Xeon E5-2660 v2,2200.0,12.0,120.0,240.0,144.0,,334.0,2013.0,intel,1.39,,2.78,,2.0
Xeon E5-2660 v2,,xeon,,e5-2660,,v2,8.0,Intel Xeon E5-2660 v2,2200.0,16.0,160.0,320.0,192.0,,417.0,2013.0,intel,1.3,,2.61,,2.0
