Nodes,1.5277777777777777
Chips,2.3333333333333335
MHz,2166.6666666666665
Total Memory (GB),300.44444444444446
Cores,149.33333333333334
Total Threads,298.6666666666667
avg. watts @ active idle,147.60000000000002
avg. watts @ 100%,346.48387096774195
watts per thread idle,0.47388888888888886
watts per thread max,1.7087096774193546
watts per core idle,0.9480555555555552
watts per core max,3.418064516129032
threads per core,2.0
cloud jewels,0.9678172043010752
minimum year,2019.0
maximum year,2020.0
median year,2020.0
