processor_x,company_x,brand,make,model,moniker,version,Nodes,processor_y,MHz,Chips,Cores,Total Threads,Total Memory (GB),avg. watts @ 100%,avg. watts @ active idle,launch_date,company_y,watts per thread idle,watts per thread max,watts per core idle,watts per core max,threads per core
Xeon E5-2470,,xeon,, e5-2470,,,1.0,Intel Xeon E5-2470,2300.0,2.0,16.0,32,32,286,88.9,2012.0,intel,2.78,8.94,5.56,17.88,2.0
Xeon E5-2470,,xeon,, e5-2470,,,1.0,Intel Xeon E5-2470,2300.0,1.0,8.0,16,16,156,52.7,2012.0,intel,3.29,9.75,6.59,19.5,2.0
Xeon E5-2470,,xeon,, e5-2470,,,1.0,Intel Xeon E5-2470,2300.0,2.0,16.0,32,16,249,53,2012.0,intel,1.66,7.78,3.31,15.56,2.0
Xeon E5-2470,,xeon,, e5-2470,,,4.0,Intel Xeon E5-2470,2300.0,8.0,64.0,128,64,"1,079",180,2012.0,intel,1.41,8.43,2.81,16.86,2.0
Xeon E5-2470,,xeon,, e5-2470,,,1.0,Intel Xeon E5-2470,2300.0,2.0,16.0,32,24,254,53.9,2012.0,intel,1.68,7.94,3.37,15.88,2.0
Xeon E5-2470,,xeon,, e5-2470,,,1.0,Intel Xeon E5-2470,2300.0,2.0,16.0,32,24,241,51,2012.0,intel,1.59,7.53,3.19,15.06,2.0
Xeon E5-2470,,xeon,, e5-2470,,,1.0,Intel Xeon E5-2470,2300.0,2.0,16.0,32,24,259,52.1,2012.0,intel,1.63,8.09,3.26,16.19,2.0
Xeon E5-2470,,xeon,, e5-2470,,,1.0,Intel Xeon E5-2470 2.30 GHz (Intel Turbo Boost Technology up to 3.10 GHz),2300.0,2.0,16.0,32,24,260,50.8,2012.0,intel,1.59,8.13,3.17,16.25,2.0
Xeon E5-2470,,xeon,, e5-2470,,,1.0,Intel Xeon E5-2470 2.30 GHz (Intel Turbo Boost Technology up to 3.10 GHz),2300.0,2.0,16.0,32,24,274,62.6,2012.0,intel,1.96,8.56,3.91,17.13,2.0
Xeon E5-2470,,xeon,, e5-2470,,,1.0,Intel Xeon E5-2470 2.30 GHz (Intel Turbo Boost Technology up to 3.10 GHz),2300.0,2.0,16.0,32,24,269,58.1,2012.0,intel,1.82,8.41,3.63,16.81,2.0
Xeon E5-2470,,xeon,, e5-2470,,,1.0,Intel Xeon E5-2470 (2.30GHz),2300.0,2.0,16.0,32,24,285,62.4,2012.0,intel,1.95,8.91,3.9,17.81,2.0
Xeon E5-2609,,xeon,, e5-2609,,,1.0,Intel Xeon E5-2609,2400.0,2.0,8.0,8,48,137,68.7,2014.0,intel,8.59,17.13,8.59,17.13,1.0
Xeon E5-2630,,xeon,, e5-2630,,,1.0,Intel Xeon E5-2630,2300.0,2.0,12.0,24,128,325,99.6,2012.0,intel,4.15,13.54,8.3,27.08,2.0
Xeon E5-2630,,xeon,, e5-2630,,,1.0,Intel Xeon E5-2630,2300.0,2.0,12.0,24,128,323,96,2012.0,intel,4.0,13.46,8.0,26.92,2.0
Xeon E5-2630,,xeon,, e5-2630,,,1.0,Intel Xeon E5-2630,2300.0,2.0,12.0,24,32,205,56.2,2012.0,intel,2.34,8.54,4.68,17.08,2.0
