processor,company,brand,make,model,moniker,version
Xeon Platinum 8160F,,xeon,platinum, 8160,f,
Xeon Platinum 8160H,,xeon,platinum, 8160,h,
Xeon Platinum 8160M,,xeon,platinum, 8160,m,
Xeon Platinum 8160T,,xeon,platinum, 8160,t,
Xeon Platinum 8163,,xeon,platinum, 8163,,
Xeon Platinum 8164,,xeon,platinum, 8164,,
Xeon Platinum 8165,,xeon,platinum, 8165,,
Xeon Platinum 8167M,,xeon,platinum, 8167,m,
Xeon Platinum 8168,,xeon,platinum, 8168,,
Xeon Platinum 8170,,xeon,platinum, 8170,,
Xeon Platinum 8170M,,xeon,platinum, 8170,m,
Xeon Platinum 8171M,,xeon,platinum, 8171,m,
Xeon Platinum 8172M,,xeon,platinum, 8172,m,
Xeon Platinum 8173M,,xeon,platinum, 8173,m,
Xeon Platinum 8174,,xeon,platinum, 8174,,
Xeon Platinum 8175M,,xeon,platinum, 8175,m,
Xeon Platinum 8176,,xeon,platinum, 8176,,
Xeon Platinum 8176F,,xeon,platinum, 8176,f,
Xeon Platinum 8176M,,xeon,platinum, 8176,m,
Xeon Platinum 8179M,,xeon,platinum, 8179,m,
Xeon Platinum 8180,,xeon,platinum, 8180,,
Xeon Platinum 8180M,,xeon,platinum, 8180,m,
